Status,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price
1,38391,8,512,1,0,15.6,0,1008.9999999999999
1,4541,8,256,1,0,15.6,0,299.0
1,14914,8,256,1,0,15.6,0,789.0
1,46877,16,1000,1,12975,15.6,0,1199.0
1,38391,16,512,1,0,15.6,0,669.01
1,46877,32,1000,1,19388,17.3,0,1699.0
1,28856,8,256,1,0,14.0,0,909.0
1,46877,8,512,1,0,15.6,0,809.01
1,38391,8,256,1,0,15.6,0,519.0
1,46877,16,512,1,12975,16.1,0,1149.0
1,4541,8,256,1,0,15.6,0,349.0
1,46877,16,1000,1,15128,15.6,0,1399.0
1,36398,16,512,1,12975,15.6,0,1199.0
1,28856,16,512,1,0,15.6,0,476.99
1,13516,8,256,1,0,15.6,0,391.0
1,38391,8,512,1,0,15.6,0,699.0
1,38391,16,512,1,0,15.6,0,799.0
1,14914,8,512,1,0,15.6,0,549.0
1,46877,8,512,1,0,15.6,0,769.0
1,46877,16,512,1,12975,15.6,0,999.0
1,38391,16,1000,1,19388,15.6,0,1249.0
1,36398,16,512,1,0,15.6,0,789.0
1,36398,16,512,1,0,15.6,0,729.0
1,38391,16,512,1,12975,15.6,0,1099.0
1,14914,8,256,1,0,15.6,0,539.01
1,46877,16,512,1,12975,15.6,0,1179.0
1,4541,8,256,1,0,14.0,0,239.0
1,38391,16,512,1,12975,15.6,0,999.0
1,28856,16,512,1,0,15.6,0,799.0
1,38391,8,512,1,0,15.6,0,519.01
1,38391,16,512,1,0,15.6,0,789.0
1,46877,16,512,1,19388,15.6,0,1549.0
1,14914,8,256,1,0,15.6,0,539.01
1,14914,8,256,1,0,15.6,0,539.0
1,46877,32,1000,1,19388,17.3,0,2249.0
1,36398,16,512,1,12975,15.6,0,1299.01
1,36398,16,512,1,12975,15.6,0,1139.01
1,46877,16,512,1,0,15.6,0,789.0
1,28856,8,512,1,0,15.6,0,599.01
1,46877,32,1000,1,17158,16.1,0,1699.0
1,38391,8,512,1,0,15.6,0,609.0
1,46877,16,512,1,0,13.3,0,1089.0
1,46877,16,512,1,17158,16.1,0,1399.0
1,46877,16,512,1,0,15.6,0,899.01
1,28856,12,512,1,0,15.6,0,549.0
1,38391,16,512,1,12975,15.6,0,929.0
1,46877,32,1000,1,15128,16.0,0,1899.01
1,36398,16,512,1,0,15.6,0,829.0
1,14914,8,256,1,0,15.6,0,449.0
1,38391,8,256,1,0,14.0,0,699.0
1,36398,16,1000,1,19388,15.6,0,1349.0
1,28856,8,512,1,0,15.6,0,699.0
1,36398,16,512,1,17158,16.1,0,1299.01
1,4541,8,256,1,0,15.6,0,399.0
1,36398,16,512,1,12975,16.1,0,1149.0
1,28856,16,512,1,0,15.6,0,839.0
1,46877,16,512,1,0,15.6,0,809.01
1,38391,8,512,1,0,15.6,0,779.0
1,46877,8,512,1,0,15.6,0,749.0
1,38391,16,512,1,15128,15.6,0,1099.0
1,46877,16,1000,1,0,15.6,0,999.0
1,36398,16,512,1,0,15.6,0,649.01
1,46877,8,512,1,0,15.6,0,859.0
1,46877,32,1000,1,12975,16.0,0,1499.01
1,46877,16,1000,1,19388,15.6,0,1699.0
1,46877,16,512,1,12975,16.1,0,1199.0
1,46877,16,1000,1,0,14.0,0,999.0
1,14914,8,256,1,0,15.6,0,499.0
1,13516,8,256,1,0,15.6,0,499.0
1,38391,16,512,1,6948,14.0,0,999.0
1,46877,16,512,1,0,15.6,0,749.0
1,38391,8,256,1,0,15.6,0,879.0
1,46877,16,1000,1,6948,14.0,0,1489.0
1,46877,16,512,1,0,15.6,0,999.0
1,38391,16,512,1,7858,15.6,0,999.0
1,38391,8,512,1,0,15.6,0,589.0
1,38391,8,256,1,0,14.0,0,959.0
1,38391,16,512,1,7858,15.6,0,1039.0
1,28856,8,512,1,0,15.6,0,599.0
1,46877,8,512,1,0,15.6,0,739.01
1,46877,32,1000,1,19388,16.0,0,2449.0
1,46877,8,512,1,0,15.6,0,839.0
1,13516,8,256,1,0,15.6,0,499.0
1,36398,8,512,1,0,15.6,0,699.0
1,62048,32,1000,1,19388,15.6,0,2399.01
1,28856,8,512,1,0,15.6,0,689.01
1,38391,16,512,1,0,15.6,0,749.0
1,38391,8,512,1,0,15.6,0,599.0
1,46877,16,512,1,0,13.3,0,1199.0
1,38391,16,512,1,6948,15.6,0,949.0
1,38391,16,512,1,0,16.0,0,799.0
1,46877,16,1000,1,22488,15.6,0,3299.99
1,36398,8,256,1,0,15.6,0,478.99
1,38391,8,256,1,0,15.6,0,989.0
1,13516,8,256,1,0,15.6,0,439.99
1,13516,8,256,1,0,15.6,0,529.0
1,46877,8,512,1,0,16.0,0,709.0
1,28856,8,512,1,0,15.6,0,659.0
1,46877,16,512,1,0,15.6,0,749.0
1,36398,8,512,1,0,15.6,0,589.0
1,28856,8,512,1,0,15.6,0,549.0
1,13516,8,256,1,0,15.6,0,459.0
1,46877,8,512,1,0,16.0,0,819.0
1,38391,8,512,1,0,16.0,0,609.01
1,36398,16,512,1,0,14.0,0,999.0
1,38391,16,512,1,0,15.6,0,739.01
1,46877,16,512,1,17158,15.6,0,1399.0
1,38391,16,512,1,0,15.6,0,759.01
1,28856,16,512,1,0,15.6,0,729.0
1,38391,16,512,1,0,15.6,0,749.0
1,14914,8,256,1,0,15.6,0,479.0
1,28856,16,512,1,0,15.6,0,873.29
1,28856,8,512,1,0,15.6,0,589.0
1,36398,16,512,1,12975,15.6,0,1079.01
1,38391,8,512,1,0,15.6,0,649.0
1,36398,16,512,1,12975,15.6,0,999.0
1,38391,16,512,1,0,14.0,0,1018.9999999999999
1,46877,32,1000,1,17158,17.3,0,1499.0
1,38391,8,512,1,0,17.3,0,729.0
1,62048,32,1000,1,19388,16.0,0,2599.0
1,46877,8,512,1,0,15.6,0,699.0
1,46877,16,512,1,17158,15.6,0,1599.0
1,38391,8,256,1,0,15.6,0,739.01
1,38391,16,512,1,0,15.6,0,709.0
1,38391,16,512,1,12975,15.6,0,1059.0
1,38391,16,512,1,0,14.0,0,799.0
1,46877,16,512,1,0,14.0,0,999.0
0,46877,16,512,1,0,15.6,0,899.0
1,46877,32,1000,1,19388,15.6,0,1899.0
1,38391,16,512,1,0,15.6,0,699.0
1,62048,32,1000,1,34870,16.0,0,2599.0
1,38391,8,512,1,0,15.6,0,579.01
1,38391,8,512,1,0,15.6,0,749.0
1,14914,8,256,1,0,15.6,0,549.0
1,28856,16,512,1,12975,15.6,0,979.0
1,28856,16,512,1,0,14.0,0,969.0
1,38391,16,512,1,12975,15.6,0,1099.0
1,38391,16,512,1,17158,15.6,0,1319.01
1,28856,16,512,1,0,14.0,1,799.0
1,28856,16,512,1,7858,15.6,0,879.0
1,46877,32,1000,1,6948,14.0,0,1359.0
1,46877,8,512,1,0,15.6,0,839.0
1,38391,16,512,1,19388,15.6,0,1109.0
1,14914,8,256,1,0,15.6,0,599.0
1,36398,16,512,1,19388,15.6,0,1349.0
1,38391,16,512,1,12975,15.6,0,999.0
1,38391,16,512,1,7858,15.6,0,829.01
1,46877,16,1000,1,17158,15.6,0,1569.01
1,13516,8,512,1,0,15.6,0,479.0
1,28856,16,512,1,7858,15.6,0,779.01
1,28856,4,256,1,0,14.0,0,499.0
1,14914,8,256,1,0,14.0,0,459.0
1,46877,16,1000,1,0,14.0,0,999.0
0,36398,16,1000,1,17158,15.6,0,1899.0
1,38391,16,512,1,0,15.6,0,819.0
1,36398,12,512,1,0,15.6,0,749.0
1,28856,16,1000,1,12975,15.6,0,1199.0
1,14914,8,512,1,0,15.6,0,449.0
1,46877,32,1000,1,19388,16.0,0,1999.0
1,14914,8,256,1,0,15.6,0,529.0
1,46877,32,1000,1,15128,16.0,0,1999.0
1,46877,32,1000,1,19388,17.3,0,1799.0
1,38391,8,512,1,0,16.1,0,499.0
1,13516,8,256,1,0,15.6,0,399.0
1,36398,16,512,1,0,14.0,0,1149.0
1,14914,8,512,1,0,15.6,0,499.0
1,14914,8,256,1,0,15.6,1,699.0
1,38391,16,512,1,0,17.3,0,899.0
1,36398,16,512,1,12975,16.1,0,1099.0
1,46877,16,512,1,0,15.6,0,1049.0
1,36398,8,512,1,0,15.6,0,499.0
1,38391,8,512,1,0,14.0,0,719.01
1,46877,16,1000,1,17158,15.6,0,2799.99
1,14914,8,512,1,0,15.6,0,499.0
1,46877,16,1000,1,17158,16.1,0,1599.0
1,36398,16,512,1,12975,15.6,0,1079.01
1,28856,16,512,1,0,14.0,0,999.0
1,46877,16,512,1,12975,15.6,0,1299.0
1,46877,16,1000,1,19388,15.6,0,1799.0
1,46877,16,512,1,17158,15.6,0,1299.0
1,46877,16,1000,1,0,15.6,0,1169.01
1,38391,8,256,1,0,14.0,1,899.0
1,38391,16,512,1,0,16.0,0,1089.0
1,36398,16,512,1,0,14.0,0,1199.0
1,46877,16,2000,1,22488,16.0,0,2899.0
1,13516,8,256,1,0,15.6,0,499.0
1,46877,16,512,1,17158,15.6,0,1499.0
1,46877,16,1000,1,15128,16.0,0,1899.0
1,36398,16,512,1,15128,15.6,0,1139.01
1,38391,16,512,1,0,15.6,0,799.0
1,62048,32,1000,1,17158,17.3,0,1599.0
1,46877,16,512,1,0,15.6,0,699.0
1,38391,8,256,1,0,14.0,1,1163.02
1,14914,8,512,1,0,15.6,0,499.0
1,38391,8,256,1,0,15.6,0,609.0
1,38391,8,512,1,0,14.0,1,899.0
